Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Zfp609	ENSMUST00000159109.1	zinc finger protein 609 	200	1	0	1	0	2	0	2	0	6	mmu-miR-7a-5p	-0.30	-0.31	0.72	2011
Scn2b	ENSMUST00000170998.2	sodium channel, voltage-gated, type II, beta 	51	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.30	-0.30	0.67	2005, 2007, 2009, 2011
Lsm12	ENSMUST00000107156.3	LSM12 homolog (S. cerevisiae) 	3995	2	0	0	2	0	0	0	0	1	mmu-miR-7a-5p	-0.30	-0.30	0.39	2007, 2009, 2011
Rela	ENSMUST00000025867.5	v-rel reticuloendotheliosis viral oncogene homolog A (avian) 	2743	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.30	-0.30	0.38	2009, 2011
Pcbp3	ENSMUST00000001148.5	poly(rC) binding protein 3 	448	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.29	-0.30	< 0.1	2007, 2009, 2011
Enah	ENSMUST00000078719.7	enabled homolog (Drosophila) 	2081	1	0	1	0	2	0	1	1	2	mmu-miR-7a-5p	-0.29	-0.44	0.72	2005, 2007, 2009, 2011
Ggt7	ENSMUST00000029131.5	gamma-glutamyltransferase 7 	14	1	1	0	0	2	0	1	1	3	mmu-miR-7a-5p	-0.29	-0.38	0.74	2007, 2009, 2011
Arf3	ENSMUST00000053183.9	ADP-ribosylation factor 3 	840	1	0	1	0	0	0	0	0	3	mmu-miR-7a-5p	-0.29	-0.31	0.34	2005, 2007, 2009, 2011
Foxn3	ENSMUST00000046859.5	forkhead box N3 	698	1	1	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.29	-0.40	0.80	2007
Klhl26	ENSMUST00000066597.6	kelch-like 26 	889	1	1	0	0	1	0	0	1	0	mmu-miR-7a-5p	-0.29	-0.31	< 0.1	2007, 2009, 2011
Ube2d2a	ENSMUST00000170693.2	ubiquitin-conjugating enzyme E2D 2A 	1832	1	0	1	0	1	0	0	1	2	mmu-miR-7b-5p	-0.29	-0.32	0.66	2009, 2011
Hpcal4	ENSMUST00000059667.3	hippocalcin-like 4 	5	1	0	1	0	2	0	1	1	2	mmu-miR-7a-5p	-0.28	-0.28	0.22	2005, 2007, 2009, 2011
Zfp395	ENSMUST00000066994.6	zinc finger protein 395 	1065	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.28	-0.28	0.83	2009, 2011
Necab1	ENSMUST00000041606.8	N-terminal EF-hand calcium binding protein 1 	85	1	0	1	0	0	0	0	0	2	mmu-miR-7a-5p	-0.28	-0.29	0.65	2007, 2009, 2011
Pim1	ENSMUST00000024811.7	proviral integration site 1 	5	1	0	1	0	1	0	0	1	0	mmu-miR-7a-5p	-0.28	-0.28	0.13	2005, 2007, 2009, 2011
Lrrc1	ENSMUST00000183873.2	leucine rich repeat containing 1 	556	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.28	-0.28	0.56	2007, 2009, 2011
Ube2g1	ENSMUST00000021148.7	ubiquitin-conjugating enzyme E2G 1 	4678	1	0	0	1	0	0	0	0	1	mmu-miR-7a-5p	-0.28	-0.36	0.36	2005, 2007, 2009, 2011
Clasp2	ENSMUST00000166734.3	CLIP associating protein 2 	1362	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.28	-0.28	0.38	2005, 2007, 2009, 2011
Ambra1	ENSMUST00000099712.4	autophagy/beclin 1 regulator 1 	1316	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.27	-0.27	0.54	2007, 2009, 2011
Smarcd1	ENSMUST00000023759.4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 	1422	1	0	1	0	2	0	0	2	1	mmu-miR-7a-5p	-0.27	-0.27	0.39	2005, 2007, 2009, 2011
Pik3cd	ENSMUST00000038859.8	phosphatidylinositol 3-kinase catalytic delta polypeptide 	20	1	1	0	0	2	1	0	1	1	mmu-miR-7a-5p	-0.27	-0.30	0.73	2005, 2007, 2009, 2011
Mob2	ENSMUST00000084418.2	MOB kinase activator 2 	1590	1	1	0	0	1	0	1	0	1	mmu-miR-7a-5p	-0.27	-0.48	< 0.1	2007, 2009, 2011
Ankfy1	ENSMUST00000155998.1	ankyrin repeat and FYVE domain containing 1 	1038	1	0	1	0	2	0	0	2	2	mmu-miR-7b-5p	-0.27	-0.28	0.39	2005, 2007, 2009, 2011
Fam189a1	ENSMUST00000119118.2	family with sequence similarity 189, member A1 	11	1	0	1	0	2	0	1	1	1	mmu-miR-7a-5p	-0.27	-0.39	0.66	2009, 2011
Stox2	ENSMUST00000110367.3	storkhead box 2 	115	1	0	1	0	1	0	1	0	0	mmu-miR-7a-5p	-0.27	-0.33	0.70	2009, 2011
Gabra1	ENSMUST00000020707.6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1 	12	1	0	1	0	1	0	0	1	0	mmu-miR-7a-5p	-0.27	-0.32	0.70	
Dnajc5	ENSMUST00000072334.6	DnaJ (Hsp40) homolog, subfamily C, member 5 	1852	1	0	1	0	3	1	1	1	1	mmu-miR-7a-5p	-0.27	-0.54	0.35	2005, 2007, 2009, 2011
Atp2b2	ENSMUST00000089003.6	ATPase, Ca++ transporting, plasma membrane 2 	47	1	0	1	0	1	0	0	1	1	mmu-miR-7a-5p	-0.27	-0.31	0.62	2005, 2007, 2009, 2011
Nrsn1	ENSMUST00000057866.7	neurensin 1 	5	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.27	-0.27	< 0.1	2007, 2009, 2011
Rps6kb1	ENSMUST00000154617.2	ribosomal protein S6 kinase, polypeptide 1 	1121	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.26	-0.40	0.76	2005, 2007, 2009, 2011
Celsr1	ENSMUST00000016172.7	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila) 	372	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.26	-0.26	0.29	2005, 2007, 2009, 2011
Eif4e	ENSMUST00000029803.7	eukaryotic translation initiation factor 4E 	1238	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.26	-0.26	0.72	2009, 2011
Map4	ENSMUST00000035055.9	microtubule-associated protein 4 	9028	1	1	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.26	-0.26	0.39	2005, 2007, 2011
Car7	ENSMUST00000159416.2	carbonic anhydrase 7 	33	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.26	-0.26	0.17	2009, 2011
Slc6a9	ENSMUST00000030269.8	solute carrier family 6 (neurotransmitter transporter, glycine), member 9 	812	1	1	0	0	1	0	1	0	1	mmu-miR-7a-5p	-0.26	-0.28	0.68	2007, 2009, 2011
Add2	ENSMUST00000032069.5	adducin 2 (beta) 	13	1	0	1	0	3	2	0	1	8	mmu-miR-7a-5p	-0.25	-0.53	0.59	2005, 2009, 2011
Zfp212	ENSMUST00000009411.8	Zinc finger protein 212 	78	1	0	1	0	0	0	0	0	1	mmu-miR-7b-5p	-0.25	-0.25	0.14	2009, 2011
Ctdsp2	ENSMUST00000105256.3	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2 	5332	1	0	1	0	0	0	0	0	3	mmu-miR-7a-5p	-0.25	-0.25	0.41	2005, 2007, 2009, 2011
Mob1b	ENSMUST00000113229.2	MOB kinase activator 1B 	3883	2	0	1	1	0	0	0	0	0	mmu-miR-7a-5p	-0.25	-0.28	0.48	2007, 2009, 2011
Slc38a2	ENSMUST00000023099.6	solute carrier family 38, member 2 	3346	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.25	-0.28	0.23	2005, 2007, 2009, 2011
Satb1	ENSMUST00000144331.2	special AT-rich sequence binding protein 1 	473	1	0	1	0	1	0	1	0	1	mmu-miR-7a-5p	-0.25	-0.35	0.72	2005, 2007, 2011
Slc25a23	ENSMUST00000040280.8	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23 	107	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.25	-0.27	< 0.1	2005, 2009, 2011
Glo1	ENSMUST00000024823.7	glyoxalase 1 	19773	1	0	1	0	1	0	1	0	0	mmu-miR-7a-5p	-0.24	-0.25	0.39	2007, 2009, 2011
Fam131b	ENSMUST00000031891.9	family with sequence similarity 131, member B 	207	2	2	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.24	-0.85	0.88	2007, 2009, 2011
Osbpl5	ENSMUST00000119499.2	oxysterol binding protein-like 5 	39	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.24	-0.24	0.20	2005, 2007, 2009, 2011
Xpo7	ENSMUST00000167242.2	exportin 7 	3235	1	0	1	0	3	0	0	3	3	mmu-miR-7a-5p	-0.24	-0.28	0.72	2009, 2011
Dach1	ENSMUST00000071533.7	dachshund 1 (Drosophila) 	304	1	0	1	0	1	0	0	1	0	mmu-miR-7a-5p	-0.24	-0.25	0.51	2005, 2007, 2009, 2011
Lzts3	ENSMUST00000089561.4	leucine zipper, putative tumor suppressor family member 3 	158	1	0	1	0	2	0	0	2	1	mmu-miR-7a-5p	-0.24	-0.24	0.29	2007, 2009, 2011
Dnpep	ENSMUST00000185419.1	aspartyl aminopeptidase 	63	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.24	-0.24	< 0.1	2005, 2007, 2009, 2011
Csmd3	ENSMUST00000160658.2	CUB and Sushi multiple domains 3 	5	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.24	-0.24	0.36	2005, 2007, 2009, 2011
Epha3	ENSMUST00000064405.6	Eph receptor A3 	38	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.24	-0.26	< 0.1	2005, 2007
Setd8	ENSMUST00000059580.5	SET domain containing (lysine methyltransferase) 8 	582	1	0	1	0	1	0	0	1	0	mmu-miR-7a-5p	-0.24	-0.24	0.33	2009, 2011
Pde4a	ENSMUST00000039413.9	phosphodiesterase 4A, cAMP specific 	988	1	1	0	0	0	0	0	0	3	mmu-miR-7b-5p	-0.24	-0.24	< 0.1	2005, 2007, 2009, 2011
Nr4a3	ENSMUST00000030025.4	nuclear receptor subfamily 4, group A, member 3 	183	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.24	-0.28	0.64	2005, 2007
Six4	ENSMUST00000043208.7	sine oculis-related homeobox 4 	266	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.23	-0.25	0.36	2007
Nipal3	ENSMUST00000102549.4	NIPA-like domain containing 3 	304	2	0	2	0	1	0	0	1	5	mmu-miR-7a-5p	-0.23	-0.37	0.50	2007, 2009, 2011
Tmem245	ENSMUST00000068792.7	transmembrane protein 245 	1295	1	0	1	0	3	0	0	3	8	mmu-miR-7a-5p	-0.23	-0.26	0.13	2007, 2009, 2011
Irs4	ENSMUST00000067841.7	insulin receptor substrate 4 	5	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.23	-0.23	0.72	2009, 2011
Arhgap32	ENSMUST00000174641.2	Rho GTPase activating protein 32 	299	1	0	0	1	0	0	0	0	0	mmu-miR-7a-5p	-0.23	-0.26	< 0.1	2011
Zbtb2	ENSMUST00000100078.3	zinc finger and BTB domain containing 2 	201	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.23	-0.23	0.16	2005, 2007, 2009, 2011
U2surp	ENSMUST00000079659.6	U2 snRNP-associated SURP domain containing 	2101	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.23	-0.23	0.45	2007, 2009, 2011
Timm50	ENSMUST00000081946.4	translocase of inner mitochondrial membrane 50 	4108	1	0	1	0	0	0	0	0	0	mmu-miR-7b-5p	-0.23	-0.34	0.21	2007
Gm608	ENSMUST00000119746.2	predicted gene 608 	951	1	0	1	0	2	0	0	2	1	mmu-miR-7a-5p	-0.23	-0.23	0.53	2007, 2009, 2011
Abi2	ENSMUST00000052332.9	abl-interactor 2 	208	1	0	1	0	2	0	2	0	1	mmu-miR-7a-5p	-0.23	-0.28	0.30	2007, 2009, 2011
Pcnxl2	ENSMUST00000047239.7	pecanex-like 2 (Drosophila) 	10	1	1	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.23	-0.23	< 0.1	2005, 2009, 2011
Spty2d1	ENSMUST00000061639.7	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae) 	96	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.23	-0.35	0.50	2007, 2009, 2011
Ube2d3	ENSMUST00000166033.1	ubiquitin-conjugating enzyme E2D 3 	5861	2	0	0	2	0	0	0	0	0	mmu-miR-7a-5p	-0.22	-0.22	< 0.1	2005, 2007, 2009, 2011
Zfp148	ENSMUST00000165418.2	zinc finger protein 148 	580	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.22	-0.26	0.65	2009, 2011
Jade1	ENSMUST00000026865.9	jade family PHD finger 1 	8633	1	1	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.22	-0.22	0.81	2007, 2009, 2011
Rbmx	ENSMUST00000098470.3	RNA binding motif protein, X chromosome 	830	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.22	-0.22	< 0.1	2007, 2009, 2011
Rbfox1	ENSMUST00000056416.7	RNA binding protein, fox-1 homolog (C. elegans) 1 	709	2	0	1	1	0	0	0	0	0	mmu-miR-7a-5p	-0.22	-0.22	0.23	2007, 2009, 2011
Sla	ENSMUST00000164163.2	src-like adaptor 	114	1	1	0	0	1	0	0	1	2	mmu-miR-7a-5p	-0.22	-0.23	< 0.1	2005, 2007, 2009, 2011
Slc4a4	ENSMUST00000148750.2	solute carrier family 4 (anion exchanger), member 4 	5302	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.22	-0.22	< 0.1	2005, 2007, 2009, 2011
Ulk3	ENSMUST00000053230.6	unc-51-like kinase 3 	247	1	0	1	0	1	0	1	0	3	mmu-miR-7a-5p	-0.22	-0.22	0.26	2005, 2011
Grin2b	ENSMUST00000053880.7	glutamate receptor, ionotropic, NMDA2B (epsilon 2) 	5	1	1	0	0	4	0	2	2	10	mmu-miR-7a-5p	-0.22	-0.22	0.29	
Smox	ENSMUST00000110179.3	spermine oxidase 	2780	1	0	0	1	0	0	0	0	0	mmu-miR-7a-5p	-0.21	-0.21	ORF	
Rreb1	ENSMUST00000128570.2	ras responsive element binding protein 1 	109	1	0	1	0	1	0	0	1	2	mmu-miR-7a-5p	-0.21	-0.21	0.21	2005, 2007, 2009, 2011
Patl1	ENSMUST00000061618.7	protein associated with topoisomerase II homolog 1 (yeast) 	879	1	0	1	0	0	0	0	0	3	mmu-miR-7a-5p	-0.21	-0.22	0.48	2007, 2009, 2011
Pphln1	ENSMUST00000049122.9	periphilin 1 	680	1	1	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.21	-0.32	0.31	2009, 2011
Leng1	ENSMUST00000019878.7	leukocyte receptor cluster (LRC) member 1 	199	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.21	-0.22	0.41	2009, 2011
Zbtb20	ENSMUST00000114694.3	zinc finger and BTB domain containing 20 	293	1	0	0	1	2	0	1	1	14	mmu-miR-7a-5p	-0.21	-0.26	0.21	
Plec	ENSMUST00000089610.4	plectin 	60	1	0	1	0	1	0	0	1	1	mmu-miR-7a-5p	-0.21	-0.21	0.60	2007, 2009, 2011
Arih1	ENSMUST00000171975.2	ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila) 	3517	1	0	1	0	1	0	0	1	2	mmu-miR-7a-5p	-0.21	-0.25	0.49	2009, 2011
Ppfia3	ENSMUST00000107779.2	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3 	22	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.21	-0.21	0.40	2005, 2007, 2009, 2011
Srrm3	ENSMUST00000144211.1	serine/arginine repetitive matrix 3 	10	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.21	-0.21	0.29	2007, 2009, 2011
Wapal	ENSMUST00000048263.8	wings apart-like homolog (Drosophila) 	4563	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.21	-0.29	0.65	2007
Xiap	ENSMUST00000115094.2	X-linked inhibitor of apoptosis 	2281	1	0	0	1	1	0	1	0	2	mmu-miR-7a-5p	-0.20	-0.21	< 0.1	2007, 2009, 2011
Sh3glb1	ENSMUST00000163279.1	SH3-domain GRB2-like B1 (endophilin) 	6534	1	0	0	1	1	0	1	0	2	mmu-miR-7a-5p	-0.20	-0.29	0.38	2007, 2009, 2011
1700025G04Rik	ENSMUST00000044581.8	RIKEN cDNA 1700025G04 gene 	289	1	0	1	0	2	0	1	1	1	mmu-miR-7a-5p	-0.20	-0.36	0.33	2011
Gltscr1	ENSMUST00000094821.3	glioma tumor suppressor candidate region gene 1 	262	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.20	-0.20	0.65	2005, 2007
Nab1	ENSMUST00000186764.1	Ngfi-A binding protein 1 	4719	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.20	-0.20	< 0.1	2005, 2007, 2011
Slc22a4	ENSMUST00000020586.6	solute carrier family 22 (organic cation transporter), member 4 	129	1	0	0	1	0	0	0	0	0	mmu-miR-7a-5p	-0.19	-0.20	< 0.1	2005, 2007, 2009, 2011
Lbr	ENSMUST00000005003.6	lamin B receptor 	2560	1	1	0	0	1	0	1	0	0	mmu-miR-7a-5p	-0.19	-0.23	0.25	2005, 2007, 2009, 2011
Sla2	ENSMUST00000029164.3	Src-like-adaptor 2 	15	1	0	1	0	1	1	0	0	1	mmu-miR-7a-5p	-0.19	-0.28	0.35	2009, 2011
Fam213a	ENSMUST00000022317.9	family with sequence similarity 213, member A 	2891	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.19	-0.19	0.16	2007, 2009, 2011
Slc22a23	ENSMUST00000040336.6	solute carrier family 22, member 23 	792	1	0	1	0	4	0	1	3	1	mmu-miR-7a-5p	-0.19	-0.31	0.61	2007, 2009, 2011
Tcf12	ENSMUST00000183404.2	transcription factor 12 	197	1	1	0	0	1	0	0	1	2	mmu-miR-7a-5p	-0.19	-0.27	0.75	2005, 2007, 2009, 2011
Sema6d	ENSMUST00000103239.4	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D 	274	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.19	-0.20	0.63	2005, 2007, 2009, 2011
Ccser2	ENSMUST00000090024.5	coiled-coil serine rich 2 	263	1	0	1	0	2	0	1	1	2	mmu-miR-7a-5p	-0.19	-0.21	< 0.1	2007, 2009, 2011
Csmd1	ENSMUST00000082104.6	CUB and Sushi multiple domains 1 	6	1	0	1	0	0	0	0	0	2	mmu-miR-7b-5p	-0.19	-0.19	0.54	2009, 2011
Map3k9	ENSMUST00000035987.7	mitogen-activated protein kinase kinase kinase 9 	198	1	0	1	0	1	0	0	1	3	mmu-miR-7a-5p	-0.19	-0.20	0.70	2005, 2007, 2011
Ids	ENSMUST00000101509.3	iduronate 2-sulfatase 	139	2	0	2	0	1	0	0	1	1	mmu-miR-7a-5p	-0.18	-0.49	0.91	2007, 2011
Fam19a1	ENSMUST00000122120.2	family with sequence similarity 19, member A1 	16	1	0	0	1	1	0	0	1	1	mmu-miR-7a-5p	-0.18	-0.20	0.23	2005, 2007, 2009, 2011
Smg1	ENSMUST00000032891.9	SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans) 	108	1	0	1	0	1	0	1	0	2	mmu-miR-7a-5p	-0.18	-0.18	0.22	2007, 2009, 2011
Pitpna	ENSMUST00000143219.2	phosphatidylinositol transfer protein, alpha 	3031	1	0	0	1	1	0	1	0	2	mmu-miR-7b-5p	-0.18	-0.33	< 0.1	2005, 2007, 2009, 2011
Pcsk7	ENSMUST00000039059.6	proprotein convertase subtilisin/kexin type 7 	198	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.18	-0.19	0.28	2005, 2007, 2009, 2011
Crls1	ENSMUST00000028835.7	cardiolipin synthase 1 	2320	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.18	-0.43	0.59	2009, 2011
D230025D16Rik	ENSMUST00000034361.4	RIKEN cDNA D230025D16 gene 	1624	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.18	-0.20	0.25	2009, 2011
Elfn2	ENSMUST00000088592.4	leucine rich repeat and fibronectin type III, extracellular 2 	5	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.18	-0.18	0.65	2007, 2009, 2011
Nxt2	ENSMUST00000112916.3	nuclear transport factor 2-like export factor 2 	128	1	0	0	1	1	0	0	1	0	mmu-miR-7a-5p	-0.18	-0.18	< 0.1	2005, 2007, 2009, 2011
G3bp2	ENSMUST00000169094.2	GTPase activating protein (SH3 domain) binding protein 2 	6218	1	1	0	0	1	0	0	1	0	mmu-miR-7a-5p	-0.18	-0.33	0.65	2005, 2007, 2009, 2011
Pias1	ENSMUST00000098651.4	protein inhibitor of activated STAT 1 	811	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.17	-0.20	0.28	2009, 2011
Pcdh1	ENSMUST00000160721.2	protocadherin 1 	1295	1	0	1	0	1	0	0	1	4	mmu-miR-7a-5p	-0.17	-0.19	0.39	
Sema4c	ENSMUST00000114991.2	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C 	77	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.17	-0.17	0.17	2005, 2007, 2009, 2011
Tcf4	ENSMUST00000078486.7	transcription factor 4 	2787	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.17	-0.19	0.65	2007, 2009, 2011
Lphn2	ENSMUST00000106128.2	latrophilin 2 	1132	1	0	0	1	1	0	0	1	0	mmu-miR-7a-5p	-0.17	-0.18	0.39	2007, 2009, 2011
Ints10	ENSMUST00000034328.7	integrator complex subunit 10 	691	1	1	0	0	1	0	0	1	0	mmu-miR-7a-5p	-0.17	-1.32	< 0.1	
Gbp11	ENSMUST00000171587.1	guanylate binding protein 11 	145	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.17	-0.17	< 0.1	
Gli3	ENSMUST00000110510.3	GLI-Kruppel family member GLI3 	73	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.17	-0.17	0.83	2005, 2007, 2009, 2011
Dhcr24	ENSMUST00000047973.3	24-dehydrocholesterol reductase 	9729	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.17	-0.17	0.27	2005, 2007, 2009, 2011
Cdc73	ENSMUST00000018337.8	cell division cycle 73, Paf1/RNA polymerase II complex component 	1852	1	0	0	1	0	0	0	0	3	mmu-miR-7a-5p	-0.17	-0.41	< 0.1	2007, 2009, 2011
Mafk	ENSMUST00000018287.4	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian) 	819	1	1	0	0	1	0	1	0	0	mmu-miR-7a-5p	-0.17	-0.17	< 0.1	2005, 2007, 2009, 2011
Erbb4	ENSMUST00000119142.2	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian) 	27	1	0	1	0	1	0	1	0	1	mmu-miR-7a-5p	-0.17	-0.17	0.20	2005, 2007
Fam126b	ENSMUST00000161600.2	family with sequence similarity 126, member B 	493	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.17	-0.17	0.66	2007, 2009, 2011
Trp53inp2	ENSMUST00000043237.8	transformation related protein 53 inducible nuclear protein 2 	1059	1	0	1	0	1	0	0	1	1	mmu-miR-7b-5p	-0.17	-0.18	0.16	2009, 2011
Fos	ENSMUST00000021674.6	FBJ osteosarcoma oncogene 	164	1	0	1	0	1	0	0	1	0	mmu-miR-7a-5p	-0.17	-0.17	0.16	2005, 2007, 2009, 2011
Osbpl11	ENSMUST00000039733.8	oxysterol binding protein-like 11 	378	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.17	-0.17	0.73	2005, 2007, 2009, 2011
Tceb1	ENSMUST00000188641.1	transcription elongation factor B (SIII), polypeptide 1 	2260	1	0	1	0	0	0	0	0	2	mmu-miR-7a-5p	-0.17	-0.44	0.64	
Mdga2	ENSMUST00000113942.2	MAM domain containing glycosylphosphatidylinositol anchor 2 	3	1	0	0	1	3	1	0	2	2	mmu-miR-7a-5p	-0.16	-0.42	< 0.1	2007, 2011
Rhod	ENSMUST00000117462.1	ras homolog gene family, member D 	1484	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.16	-0.18	< 0.1	
Atxn1	ENSMUST00000180110.2	ataxin 1 	414	1	1	0	0	2	0	1	1	3	mmu-miR-7a-5p	-0.16	-0.19	0.76	2005, 2007, 2009, 2011
Foxo6	ENSMUST00000102656.3	forkhead box O6 	14	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.16	-0.16	0.19	2009, 2011
Skp1a	ENSMUST00000037324.6	S-phase kinase-associated protein 1A 	6208	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.16	-0.43	0.46	2005, 2009, 2011
Slit1	ENSMUST00000169141.2	slit homolog 1 (Drosophila) 	18	1	1	0	0	1	0	0	1	1	mmu-miR-7a-5p	-0.16	-0.23	0.76	
Klf12	ENSMUST00000097079.4	Kruppel-like factor 12 	363	1	1	0	0	1	0	0	1	4	mmu-miR-7a-5p	-0.16	-0.17	0.70	2005, 2007, 2009, 2011
Nr2c1	ENSMUST00000105290.3	nuclear receptor subfamily 2, group C, member 1 	262	1	1	0	0	0	0	0	0	3	mmu-miR-7a-5p	-0.16	-0.24	0.68	2009, 2011
Glg1	ENSMUST00000169020.2	golgi apparatus protein 1 	2690	2	0	2	0	1	0	1	0	3	mmu-miR-7a-5p	-0.16	-0.18	0.43	
Ubqln4	ENSMUST00000008748.6	ubiquilin 4 	1493	1	0	1	0	2	0	0	2	0	mmu-miR-7b-5p	-0.16	-0.16	0.17	2005, 2007, 2009, 2011
Ago1	ENSMUST00000097888.4	argonaute RISC catalytic subunit 1 	460	1	0	1	0	0	0	0	0	5	mmu-miR-7a-5p	-0.16	-0.16	0.72	2007, 2011
Wnt2b	ENSMUST00000029429.4	wingless related MMTV integration site 2b 	74	1	0	1	0	0	0	0	0	4	mmu-miR-7a-5p	-0.16	-0.17	0.67	2009, 2011
Rfx2	ENSMUST00000002444.8	regulatory factor X, 2 (influences HLA class II expression) 	201	1	1	0	0	1	1	0	0	0	mmu-miR-7a-5p	-0.16	-0.16	< 0.1	2007, 2009, 2011
Srgap2	ENSMUST00000097588.3	SLIT-ROBO Rho GTPase activating protein 2 	856	1	0	0	1	1	0	1	0	6	mmu-miR-7a-5p	-0.15	-0.16	0.13	2007, 2009, 2011
Abhd8	ENSMUST00000008094.8	abhydrolase domain containing 8 	61	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.15	-0.15	0.15	2005, 2007, 2009, 2011
Cox6a1	ENSMUST00000040154.8	cytochrome c oxidase subunit VIa polypeptide 1 	619	1	0	0	1	0	0	0	0	0	mmu-miR-7a-5p	-0.15	-0.18	< 0.1	2005, 2007, 2009, 2011
